code,name,line,address,latitude,longitude,type,,insert,insert query,"현재 위도,경도,지도 값 비어있으면 안나오게 필터 걸어놓음"
4515,둔전,E,경기도 용인시 처인구 포곡읍 포곡로 70,37.267051,127.21364,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.267051, 127.21364,  ""둔전"",  ""경기도 용인시 처인구 포곡읍 포곡로 70"", 4515, ""E"");",
2555,둔촌동,5,서울특별시 강동구 양재대로 지하 1369,37.527788,127.136248,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.527788, 127.136248,  ""둔촌동"",  ""서울특별시 강동구 양재대로 지하 1369"", 2555, ""5"");",
4109,등촌,9,서울특별시 강서구 공항대로 지하 529,37.550632,126.865689,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.550632, 126.865689,  ""등촌"",  ""서울특별시 강서구 공항대로 지하 529"", 4109, ""9"");",
1266,디지털미디어시티,K,서울특별시 은평구 수색로 193,37.576646,126.900984,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.576646, 126.900984,  ""디지털미디어시티"",  ""서울특별시 은평구 수색로 193"", 1266, ""K"");",
1294,디지털미디어시티,A,서울특별시 마포구 성암로 지하 184,37.576646,126.900984,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.576646, 126.900984,  ""디지털미디어시티"",  ""서울특별시 마포구 성암로 지하 184"", 1294, ""A"");",
2619,디지털미디어시티,6,서울특별시 은평구 수색로 지하 175,37.576646,126.900984,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.576646, 126.900984,  ""디지털미디어시티"",  ""서울특별시 은평구 수색로 지하 175"", 2619, ""6"");",
210,뚝섬,2,서울특별시 성동구 아차산로 18,37.547184,127.047367,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.547184, 127.047367,  ""뚝섬"",  ""서울특별시 성동구 아차산로 18"", 210, ""2"");",
2730,뚝섬유원지,7,서울특별시 광진구 능동로 10,37.53154,127.066704,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.53154, 127.066704,  ""뚝섬유원지"",  ""서울특별시 광진구 능동로 10"", 2730, ""7"");",
2515,마곡,5,서울특별시 강서구 공항대로 지하 163,37.560183,126.825448,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.560183, 126.825448,  ""마곡"",  ""서울특별시 강서구 공항대로 지하 163"", 2515, ""5"");",
4105,마곡나루,9,서울특별시 강서구 마곡중앙5로 지하 2,37.567336,126.829497,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.567336, 126.829497,  ""마곡나루"",  ""서울특별시 강서구 마곡중앙5로 지하 2"", 4105, ""9"");",
1955,마두,3,경기도 고양시 일산동구 중앙로 지하 1180,37.652206,126.77762,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.652206, 126.77762,  ""마두"",  ""경기도 고양시 일산동구 중앙로 지하 1180"", 1955, ""3"");",
2714,마들,7,서울특별시 노원구 동일로 지하 1530-1,37.66494,127.057675,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.66494, 127.057675,  ""마들"",  ""서울특별시 노원구 동일로 지하 1530-1"", 2714, ""7"");",
1319,마석,G,경기도 남양주시 화도읍 마석중앙로 107,37.652782,127.311767,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.652782, 127.311767,  ""마석"",  ""경기도 남양주시 화도읍 마석중앙로 107"", 1319, ""G"");",
2542,마장,5,서울특별시 성동구 마장로 지하 296,37.5661,127.042973,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.5661, 127.042973,  ""마장"",  ""서울특별시 성동구 마장로 지하 296"", 2542, ""5"");",
3204,마전,I2,인천시 서구 마전동 999-25,37.597566,126.666998,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.597566, 126.666998,  ""마전"",  ""인천시 서구 마전동 999-25"", 3204, ""I2"");",
2561,마천,5,서울특별시 송파구 마천로57길 지하 7,37.49499,127.152781,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.49499, 127.152781,  ""마천"",  ""서울특별시 송파구 마천로57길 지하 7"", 2561, ""5"");",
2529,마포,5,서울특별시 마포구 마포대로 지하 33,37.539574,126.945932,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.539574, 126.945932,  ""마포"",  ""서울특별시 마포구 마포대로 지하 33"", 2529, ""5"");",
2621,마포구청,6,서울특별시 마포구 월드컵로 지하 190,37.563515,126.903343,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.563515, 126.903343,  ""마포구청"",  ""서울특별시 마포구 월드컵로 지하 190"", 2621, ""6"");",
3224,만수,I2,인천광역시 남동구 만수동 993,37.454911,126.732094,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.454911, 126.732094,  ""만수"",  ""인천광역시 남동구 만수동 993"", 3224, ""I2"");",
1203,망우,K,서울특별시 중랑구 망우로55길 11-10,37.59955,127.091909,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.59955, 127.091909,  ""망우"",  ""서울특별시 중랑구 망우로55길 11-10"", 1203, ""K"");",
1310,망우,G,서울특별시 중랑구 망우로55길 11-10,37.59955,127.091909,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.59955, 127.091909,  ""망우"",  ""서울특별시 중랑구 망우로55길 11-10"", 1310, ""G"");",
2622,망원,6,서울특별시 마포구 월드컵로 지하 77,37.556094,126.910052,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.556094, 126.910052,  ""망원"",  ""서울특별시 마포구 월드컵로 지하 77"", 2622, ""6"");",
1904,망월사,1,경기도 의정부시 평화로 221,37.709914,127.047455,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.709914, 127.047455,  ""망월사"",  ""경기도 의정부시 평화로 221"", 1904, ""1"");",
1869,망포,B,경기도 수원시 영통구 덕영대로 지하 1520,37.245795,127.057353,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.245795, 127.057353,  ""망포"",  ""경기도 수원시 영통구 덕영대로 지하 1520"", 1869, ""B"");",
1872,매교,B,경기도 수원시 팔달구 효원로 지하 126,37.265481,127.015678,2,,,"insert into safe_location (type, latitude, longitude, name, address, code, line) values (2, 37.265481, 127.015678,  ""매교"",  ""경기도 수원시 팔달구 효원로 지하 126"", 1872, ""B"");",
